Slide Number,Layout,Bottom,Top,Middle,Notes
11,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Наши задачи на сегодня,"🔧 Переключаться между системами обсерватории
⚡ Восстановить энергоснабжение  
💻 Отремонтировать главный компьютер
🛰️ Обработать сигнал от Codey!",SOS из обсерватории,
12,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1,План спасения:,"1️⃣ Восстановить питание - запрограммировать робота-строителя

2️⃣ Отремонтировать компьютер - работа с магической доской координации",SOS из обсерватории,
13,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_4_1,Новая тема,МОДУЛЬ 1 УРОК 3,Пульты управления астронома,
14,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Вкладки браузера = Системы обсерватории,"🔋 Панель энергоснабжения
🔭 Система слежения за космосом  
📡 База данных сигналов
📖 Журнал наблюдений",Пульты управления астронома,
15,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Способы переключения:,"🖱️ Клик мышью - точный выбор системы

⌨️ Ctrl + Tab - быстрое движение вперед

⌨️ Ctrl + Shift + Tab - движение назад",Пульты управления астронома,
16,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Астрономы должны молниеносно переключаться между системами!,Когда появляется важный сигнал из космоса каждая секунда на счету,Пульты управления астронома,
17,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_4_1,Практика,МОДУЛЬ 1 УРОК 3,Мониторинг систем обсерватории,
18,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_1_1_2_1,Откройте 3 вкладки:,"1️⃣ Центральный пульт управления (платформа обучения)
2️⃣ Телескоп наблюдений (любой сайт с изображениями)  
3️⃣ Система анализа сигналов (страница поиска)",Мониторинг систем,
19,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_1_1_2_1,"Игра ""Экстренное переключение""","Команды астронома:
- ""Проверьте телескоп - вкладка 2!""
- ""Срочно на центральный пульт!""  
- ""Анализируйте входящий сигнал!""

Используйте Ctrl+Tab для быстрого переключения!",Мониторинг систем,
20,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_4_1_1_1_1_1_1,"Разминка ""Системы руками""",МОДУЛЬ 1 УРОК 3,Физкультминутка,
21,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_1_1_2_1,Системы обсерватории руками,"🙌 Руки вверх = ""Телескоп в зенит"" (вкладка 1)

👐 Руки на груди = ""Горизонтальное сканирование"" (вкладка 2)

👇 Руки вниз = ""Анализ данных"" (вкладка 3)",Физкультминутка,
22,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_4_1,Программирование,МОДУЛЬ 1 УРОК 3,Восстановление энергоснабжения,
23,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Задача критической важности!,Без стабильного питания невозможно запустить мощный компьютер для обработки космических сигналов,Восстановление энергоснабжения,
24,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Программируем робота-строителя:,"⚡ Ветрогенераторы - в места с сильным ветром
🏭 Заводы - рядом с потребителями энергии

Важно: Точные координаты = эффективная энергосеть!",Восстановление энергоснабжения,
25,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Команды робота:,"- Move - перемещение по координатам
- Build Windmill - установка ветрогенератора  
- Build Power Plant - строительство завода
- Connect Power - подключение к сети",Восстановление энергоснабжения,
26,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_4_1,Клавиатурный тренажёр,МОДУЛЬ 1 УРОК 3,Ввод координат,
27,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_2,Энергосеть построена!,Теперь нужно ввести точные координаты всех объектов в центральную систему мониторинга,Ввод координат,
28,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Тренируем верхний ряд:,"Q W E R T Y U I O P

Эти символы активно используются в координатных системах астрономических объектов",Ввод координат,
29,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_2,Каждая правильная буква = точная координата энергообъекта,Обеспечивает стабильную работу всей обсерватории!,Ввод координат,
30,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_4_1,Новая тема,МОДУЛЬ 1 УРОК 3,Магическая доска координации,
31,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Whiteboard.chat = Высокотехнологичная мастерская для ремонта,"🔧 Точная установка компонентов
📝 Техническая маркировка  
👥 Командная работа экстренного реагирования",Магическая доска,
32,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Подключение к мастерской:,"1️⃣ Получите код доступа
2️⃣ Введите позывной специалиста
3️⃣ Присоединитесь к команде ремонта

Цель: Восстановить систему обработки сигналов от Codey!",Магическая доска,
33,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_4_1,Практическое задание,МОДУЛЬ 1 УРОК 3,Ремонт главного компьютера,
34,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_2,Финальный этап спасательной операции!,"Питание восстановлено ✅
Теперь ремонтируем главный компьютер 🔧",Ремонт компьютера обработки сигналов,
35,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Этап 1: Очистка (3 мин),"Удаляем мешающие элементы:
- Обломки старых процессоров
- Космическую пыль на компонентах  
- Оборванные кабели
- Окисленные контакты",Ремонт компьютера,
36,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Этап 2: Установка компонентов (5 мин),"- 🖥️ Процессор обработки сигналов
- 💾 Модули высокоскоростной RAM
- 💽 SSD для записи сигналов
- 🎮 Видеокарта для визуализации космоса
- 📡 Антенна дальней космической связи",Ремонт компьютера,
37,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Этап 3: Техническая маркировка (4 мин),"Подписываем каждый компонент:
- ""Процессор сигналов - анализирует космические передачи""
- ""Антенна - ловит сигналы из глубокого космоса""
- ""Декодер - расшифровывает сообщения роботов""",Ремонт компьютера,
38,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_4_1,Подведение итогов,МОДУЛЬ 1 УРОК 3,Сигнал обработан!,
39,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_2,УСПЕХ СПАСАТЕЛЬНОЙ ОПЕРАЦИИ! 🎉,"Восстановленный компьютер успешно обработал сигнал!
На экране появились первые данные о Codey!",Подведение итогов,
40,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_1,Что мы освоили с Bit:,"🔧 Переключение между системами мониторинга
⚡ Программирование энергетической инфраструктуры  
💻 Восстановление научного оборудования
👥 Командную работу через магическую доску",Подведение итогов,
41,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_2,Благодарность от Searcher! 🔭,"Обработанный сигнал содержит загадочные координаты...
Они могут привести прямо к Codey!

Продолжение следует...",Подведение итогов,
42,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_1,Обратная связь,"🔧 Легко справился со всеми ремонтными работами
⚡ Было сложно но очень интересно  
🛰️ Хочу скорее найти Codey по новым координатам",Подведение итогов,
